Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Lecithin variant 488,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Formaldehyde variant 68 variant 824,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Chemical stabilizer variant 442 variant 128,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Coconut sugar variant 303,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Potassium sorbate variant 716 variant 562 variant 559 variant 60,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 560 variant 459 variant 523,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 160 variant 605 variant 599,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 432 variant 267 variant 547 variant 501,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Yogurt powder variant 267,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Formaldehyde variant 68 variant 839,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 624 variant 147 variant 810 variant 214 variant 153,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Hydrogenated oil variant 297 variant 232,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 942,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cold pressed coconut oil variant 921 variant 221 variant 869 variant 720,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Maltodextrin,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Artificial caramel color variant 117,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Mannitol variant 786 variant 725 variant 276,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Color Blue 1,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 624 variant 878,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Phosphoric acid variant 975 variant 847,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Cumin variant 856 variant 758,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 372 variant 968,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Fenugreek variant 200 variant 453 variant 488,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Microcrystalline cellulose variant 463 variant 683,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Trans fat variant 955 variant 595 variant 743,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Calcium carbonate variant 424 variant 565 variant 398,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Calcium lactate variant 18,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 546 variant 975,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Isomaltooligosaccharides variant 732 variant 958,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Artificial vanillin variant 971 variant 505 variant 71,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Garlic variant 776 variant 26 variant 913,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ferrous fumarate variant 101 variant 755 variant 928 variant 395,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Chemical stabilizer variant 442 variant 73 variant 740 variant 293,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Artificial caramel color,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Isomaltooligosaccharides variant 84,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium phosphate variant 318 variant 656 variant 670,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 335 variant 113 variant 936,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 675 variant 75,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium sulfite variant 197 variant 42 variant 121,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Black pepper variant 32 variant 241 variant 949 variant 473 variant 66,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Preservative 211 variant 703 variant 927,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Dextrose monohydrate variant 23,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Erythritol,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Garlic variant 776,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Coconut sugar variant 769 variant 796,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Potassium bromate variant 806 variant 427 variant 640,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 941,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Maltodextrin variant 546 variant 195,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Riboflavin variant 275 variant 624 variant 147 variant 810,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt variant 675 variant 148 variant 675,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Color Red 40 variant 148 variant 688 variant 811,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 237 variant 605,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ammonium citrate variant 393 variant 907 variant 473,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium citrate variant 393 variant 970,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 59 variant 520 variant 417 variant 4 variant 585,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium phosphate variant 965,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol alginate variant 627,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ferrous fumarate variant 101 variant 755,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ragi flour variant 697,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium nitrite variant 854 variant 656,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium benzoate variant 650 variant 655 variant 531 variant 416,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Isinglass variant 841,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Rock salt,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ginger variant 728 variant 893 variant 705 variant 102,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Xanthan gum variant 138 variant 501 variant 80 variant 817 variant 733,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Coconut sugar variant 769 variant 796 variant 875 variant 991,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Monosodium glutamate variant 477 variant 602,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Niacinamide variant 521,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Folic acid variant 811 variant 391 variant 465,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 655 variant 948,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ghee,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cocoa powder variant 744 variant 513 variant 784 variant 108 variant 950,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sulphur dioxide variant 399 variant 130,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Isomaltooligosaccharides variant 732 variant 385 variant 947,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 546 variant 942,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Potassium nitrate variant 988 variant 160 variant 605,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
High fructose corn syrup variant 716 variant 970 variant 564 variant 601,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Black pepper variant 32 variant 241 variant 433,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 737 variant 145 variant 570,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Black salt variant 667 variant 733 variant 748,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ammonium citrate variant 393 variant 907 variant 227,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Coconut sugar variant 303 variant 672,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Trans fat variant 311,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 318 variant 707,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 237,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate variant 716 variant 562 variant 931 variant 104,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 45 variant 146 variant 591,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 432 variant 829,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cashews variant 732 variant 960,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium metabisulfite,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Chemical stabilizer variant 633,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate variant 716 variant 345,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 933,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Mustard oil variant 728,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 813,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Dark chocolate variant 199,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sulphur dioxide variant 483,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Amaranth grain variant 21 variant 396 variant 261,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Brown rice,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Black salt variant 236 variant 17 variant 980,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium caseinate variant 57 variant 210 variant 53,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Black salt variant 236 variant 17 variant 980 variant 358 variant 168,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Potassium nitrate variant 988 variant 677 variant 421 variant 88 variant 354,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Calcium carbonate variant 424,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative variant 482 variant 252 variant 835,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Garlic variant 165 variant 682,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Hydrogenated oil variant 297 variant 232 variant 13,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Artificial butter flavor variant 510 variant 225 variant 620 variant 420 variant 474,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Guar gum,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Black salt variant 236,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Triethyl citrate variant 474 variant 470,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Propylene glycol variant 925 variant 724 variant 949 variant 196,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Turmeric variant 951 variant 283,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 432 variant 724,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium citrate variant 393 variant 907 variant 473 variant 125 variant 275,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sorbitol variant 553 variant 4,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Whole wheat flour variant 128 variant 397 variant 118,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Soy protein variant 680 variant 530 variant 74,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Riboflavin variant 275 variant 624 variant 712 variant 152 variant 243,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Dimethylpolysiloxane variant 398 variant 142,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium citrate variant 203 variant 532 variant 305 variant 427 variant 899 variant 174 variant 277,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 856 variant 741,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Black pepper variant 32 variant 870 variant 440,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Quinoa variant 499,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium citrate variant 652,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Beetroot powder variant 196 variant 971,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Clove variant 910,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Triethyl citrate variant 474 variant 470 variant 922,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 547 variant 498 variant 322 variant 898,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 495,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Dimethylpolysiloxane variant 170 variant 259,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 121,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 937 variant 276,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 544 variant 606 variant 471 variant 545,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative variant 505 variant 152,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pectin variant 250 variant 343,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 933 variant 458,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ammonium bicarbonate variant 565 variant 228,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 853 variant 313 variant 336 variant 714,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Moringa powder,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Benzoyl peroxide variant 222 variant 811,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Calcium propionate variant 752,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Quinoa variant 499 variant 767,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Potassium nitrate variant 988 variant 237 variant 605 variant 102,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 57 variant 116 variant 688 variant 566,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 232 variant 570,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Polydextrose variant 870 variant 444,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cocoa powder variant 744 variant 118,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium citrate,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium sorbate variant 716 variant 772 variant 960 variant 767,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Color Red 40 variant 142 variant 834,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 965 variant 722 variant 765,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Moringa powder variant 606,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium ascorbate variant 672,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Erythritol variant 535,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Flax seeds variant 853 variant 726 variant 169,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Stevia variant 345,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Amla extract,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Carboxymethylcellulose variant 977,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium bicarbonate variant 565 variant 764 variant 283,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol alginate variant 376 variant 864 variant 699 variant 845 variant 341,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate variant 716 variant 562 variant 559,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Folic acid variant 811 variant 391,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
"Artificial color (E102, E110) variant 480",Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Mannitol variant 881 variant 927 variant 947 variant 550,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium caseinate variant 57 variant 210 variant 780 variant 56,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Potassium chloride,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium ascorbate variant 672 variant 732,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium sulfite variant 197 variant 942,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Dates paste variant 777 variant 760,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Carboxymethylcellulose variant 530,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Calcium propionate variant 89 variant 234,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Soy lecithin variant 698 variant 837,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cocoa powder variant 117,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Cold pressed coconut oil variant 429 variant 255 variant 787,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 398 variant 856,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 655 variant 948 variant 300,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Acesulfame potassium variant 379,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 316,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Cellulose gum variant 427,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Chickpea flour variant 566 variant 31 variant 890,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Wheat germ variant 379 variant 707 variant 265,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Color Red 40 variant 142 variant 971 variant 283 variant 260,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Niacinamide variant 547 variant 498 variant 502 variant 433 variant 974,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Beetroot powder variant 22 variant 353,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Pea protein variant 430,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Quinoa,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Brown sugar,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Brown sugar variant 404 variant 875 variant 748,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 544 variant 658 variant 420 variant 630,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium sulfite,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Turmeric oleoresin variant 572 variant 434 variant 931 variant 945,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 398 variant 142 variant 887,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 856 variant 170 variant 79 variant 589,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Aluminium ammonium sulfate variant 597 variant 892,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Erythrosine,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium citrate variant 203 variant 532 variant 305 variant 961 variant 409,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cashews variant 685,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Paneer solids variant 458 variant 57 variant 116 variant 828 variant 397,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Acacia gum,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 560 variant 224 variant 722 variant 946,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Lecithin,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Triethyl citrate,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Paneer solids variant 458 variant 941 variant 841 variant 253 variant 20 variant 190,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 948 variant 44 variant 47,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Xanthan gum variant 138 variant 501 variant 178 variant 657,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Wheat germ,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Artificial vanillin variant 971 variant 448,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Artificial flavoring variant 466 variant 273,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 624 variant 895 variant 243,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Xanthan gum variant 138 variant 501 variant 178 variant 777,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Guar gum variant 68 variant 728,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Citric acid monohydrate,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ginger extract variant 44 variant 513 variant 12 variant 283 variant 258,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Guar gum variant 695 variant 708 variant 422,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 547 variant 283 variant 751,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 29,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Turmeric variant 825,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium benzoate variant 650 variant 48 variant 23 variant 550,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sulphur dioxide variant 370,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Color Blue 1 variant 878 variant 52,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ammonium bicarbonate variant 565 variant 764 variant 738,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Pea protein,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Color Red 40,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 628 variant 187 variant 233,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Artificial vanillin variant 971 variant 505 variant 549,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 886,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Soy lecithin variant 698 variant 768,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Lemon juice concentrate variant 381 variant 871 variant 793,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium caseinate variant 57 variant 210 variant 780 variant 809 variant 816,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium acetate variant 335,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 396 variant 705,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 59 variant 520 variant 417 variant 921,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium citrate variant 406,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 184,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 544 variant 606,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 728 variant 893 variant 705 variant 102 variant 80 variant 27,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Amaranth grain variant 21 variant 379 variant 12 variant 977,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
